,Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
0,04/15/2023 12:02 pm,,Robert A. Mott Physical Education,PATROL ACTIVITY - Foot Patrol,23-04-15-005194,,
1,04/15/2023 11:26 am,,Yak?ityutyu - E,ALARM - Fire Alarm,23-04-15-005193,,TURNED OVER TO FACILITY SVS
2,04/15/2023 10:46 am,,Mathematics And Science,CITIZEN ASSIST - Public Assist (specify),23-04-15-005191,,TURNED OVER TO FACILITY SVS
3,04/15/2023 10:11 am,,Unknown On-campus,PATROL ACTIVITY - Patrol Check,23-04-15-005190,,IN SERVICE
4,04/15/2023 10:07 am,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005189,,False/Human Error
5,04/15/2023 09:12 am,,Grand Avenue,EVENT - Protest/Demonstration,23-04-15-005188,,GONE ON ARRIVAL/UNABLE TO LOCATE
6,04/15/2023 07:35 am,,H4-a Parking Lot,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-04-15-005187,,COMPLETED- NO REPORT
7,04/15/2023 02:14 am,,Grand Avenue,VEHICLE - Vehicle Stop,23-04-15-005177,,DRIVER WARNED/ADVISED
8,04/15/2023 01:56 am,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-04-15-005175,,SECURE/UNKNOWN
9,04/15/2023 01:31 am,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-15-005174,,IN SERVICE
10,04/15/2023 01:18 am,,Yak?ityutyu - H,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005173,,REPORT TAKEN
11,04/15/2023 01:04 am,,Poly Canyon Village,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005172,,COMPLETED- NO REPORT
12,04/15/2023 01:02 am,,Poly Canyon Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005171,,COMPLETED- NO REPORT
13,04/15/2023 12:53 am,04/15/2023 12:53 am - 04/15/2023 01:00 am,Grand Avenue Parking Structure,TRAFFIC COLLISION - Non Injury Traffic Collision,,230471,Closed
14,04/15/2023 12:53 am,,Ytt Parking Structure,TRAFFIC COLLISION - Non Injury Traffic Collision,23-04-15-005170,230471,REPORT TAKEN
15,04/15/2023 12:10 am,04/14/2023 09:00 pm - 04/15/2023 12:35 am,Yak?ityutyu - D,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,,230470,Closed
16,04/15/2023 12:10 am,,Yak?ityutyu - D,CITIZEN ASSIST - Check The Welfare,23-04-15-005169,230470,REPORT TAKEN
17,04/15/2023 12:00 am,,Red Brick Dorms,PATROL ACTIVITY - Patrol Check,23-04-15-005168,,COMPLETED- NO REPORT
18,04/14/2023 11:44 pm,,Muir Hall,ALARM - Fire Alarm,23-04-14-005166,,False/Mechanical
19,04/14/2023 11:41 pm,,Fremont Hall,PATROL ACTIVITY - Foot Patrol,23-04-14-005165,,IN SERVICE
20,04/14/2023 11:32 pm,,North Perimeter Road,VEHICLE - Vehicle Stop,23-04-14-005164,,DRIVER WARNED/ADVISED
21,04/14/2023 11:31 pm,,A-1 Parking Lot,PATROL ACTIVITY - Vehicle Check,23-04-14-005163,,COMPLETED- NO REPORT
22,04/14/2023 11:27 pm,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-04-14-005162,,SUBJECT(S) ADVISED/WARNED
23,04/14/2023 11:26 pm,,Fremont Hall,PATROL ACTIVITY - Patrol Check,23-04-14-005160,,IN SERVICE
24,04/14/2023 11:22 pm,,Grand Avenue,VEHICLE - Vehicle Stop,23-04-14-005159,,DRIVER WARNED/ADVISED
25,04/14/2023 11:14 pm,,Zone2 West Of California Blvd,PATROL ACTIVITY - Patrol Check,23-04-14-005158,,IN SERVICE
26,04/14/2023 11:12 pm,,Red Brick Dorms,PATROL ACTIVITY - Patrol Check,23-04-14-005157,,IN SERVICE
27,04/14/2023 11:06 pm,,Campus Market,PATROL ACTIVITY - Patrol Check,23-04-14-005156,,COMPLETED- NO REPORT
28,04/14/2023 11:02 pm,,North Perimeter Road,PARKING - Parking Violation,23-04-14-005154,,COMPLETED- NO REPORT
29,04/14/2023 11:01 pm,,Sequoia Hall,CITIZEN ASSIST - Public Assist (specify),23-04-14-005155,,TURNED OVER TO ENGINEERING SVS
30,04/14/2023 10:59 pm,,Muir Hall,FOLLOWUP - Followup,23-04-14-005153,,COMPLETED- NO REPORT
