Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
4/16/2023 12:17,,Pcv Huasna,ALARM - Fire Alarm,23-04-16-005242,,
4/16/2023 11:51,,Pcv Dover,ALARM - Fire Alarm,23-04-16-005241,,False/Cooking related
4/16/2023 11:46,04/16/2023 11:46 am - 04/16/2023 11:49 am,Sequoia Hall,VANDALISM - Malicious Mischief report,,230478,
4/16/2023 11:46,,Sequoia Hall,VANDALISM - Malicious Mischief report,23-04-16-005240,230478,REPORT TAKEN
4/16/2023 11:29,,Pcv Inyo,FIRE - Fire,23-04-16-005239,,False/Cooking related
4/16/2023 10:22,,Pcv Buena Vista,ALARM - Fire Alarm,23-04-16-005237,,False/Cooking related
4/16/2023 10:09,04/16/2023 10:09 am - 04/16/2023 10:23 am,Yosemite Tower 7,VANDALISM - Malicious Mischief report,,230477,
4/16/2023 10:09,,Yosemite Tower 7,VANDALISM - Malicious Mischief report,23-04-16-005236,230477,REPORT TAKEN
4/16/2023 3:52,,Yak?ityutyu - B,CITIZEN ASSIST - Public Assist (specify),23-04-16-005232,,TURNED OVER TO HOUSING
4/16/2023 1:42,,Sierra Madre Hall,DISTURBANCE - Disturbance,23-04-16-005230,,COMPLETED- NO REPORT
4/16/2023 1:28,,Yak?ityutyu - D,DISTURBANCE - Disturbance (specify) In Progress,23-04-16-005229,,COMPLETED- NO REPORT
4/16/2023 1:15,,Vista Grande,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-16-005228,,COMPLETED- NO REPORT
4/16/2023 1:07,04/16/2023 01:07 am - 04/16/2023 01:36 am,Pcv Gypsum,MENTALLY DISTURBED - Mentally Disturbed/5150,,230476,
4/16/2023 1:07,,Pcv Gypsum,CITIZEN ASSIST - Check The Welfare,23-04-16-005227,230476,REPORT TAKEN
4/16/2023 0:51,,Baseball Stadium,PATROL ACTIVITY - Patrol Check,23-04-16-005226,,COMPLETED- NO REPORT
4/15/2023 23:45,04/15/2023 11:20 pm - 04/16/2023 12:05 am,Sequoia Hall,LARCENY-THEFT - PETTY THEFT // VANDALISM - Vandalism - Less Than $400,,230474,Closed
4/15/2023 23:45,,Sequoia Hall,VANDALISM - Malicious Mischief report,23-04-15-005225,230474,REPORT TAKEN
4/15/2023 23:40,04/15/2023 11:40 pm - 04/16/2023 12:27 am,Muir Hall,VANDALISM - Vandalism - Less Than $400,,230475,Closed
4/15/2023 23:40,,Muir Hall,VANDALISM - Malicious Mischief report,23-04-15-005224,230475,REPORT TAKEN
4/15/2023 22:34,,Zone2 West Of California Blvd,PATROL ACTIVITY - Patrol Check,23-04-15-005221,,COMPLETED- NO REPORT
4/15/2023 22:25,04/15/2023 10:25 pm - 04/15/2023 11:04 pm,Off Campus - Slack/long View,DOCUMENTATION - OSRR Referral,,230473,Closed
4/15/2023 22:25,,Tenaya Hall,CITIZEN ASSIST - Citizen Contact,23-04-15-005220,230473,REPORT TAKEN
4/15/2023 22:22,,North Perimeter Road,VEHICLE - Vehicle Stop,23-04-15-005219,,DRIVER WARNED/ADVISED
4/15/2023 21:03,,Pcv Corralitos,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-15-005216,230472,REPORT TAKEN
4/15/2023 21:00,,Rodeo Arena,CITIZEN ASSIST - Escort,23-04-15-005215,,IN SERVICE
4/15/2023 20:18,,Off Campus - Hathway/rear Rec,VEHICLE - Vehicle Stop,23-04-15-005214,,DRIVER WARNED/ADVISED
4/15/2023 20:13,,Pcv Inyo,ALARM - Fire Alarm,23-04-15-005213,,False/Cooking related
4/15/2023 19:37,,Performing Arts Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005212,,COMPLETED- NO REPORT
4/15/2023 19:24,,Performing Arts Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005211,,COMPLETED- NO REPORT
4/15/2023 18:38,,H-1 Parking Lot,VANDALISM - Malicious Mischief report,23-04-15-005208,,COMPLETED- NO REPORT
4/15/2023 17:43,,Yak?ityutyu - G,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005207,,COMPLETED- NO REPORT
4/15/2023 17:39,,Health & Wellbeing Center,CRIMINAL - Skateboarding/Rollerblade on campus,23-04-15-005206,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/15/2023 16:33,,North Perimeter Road,VEHICLE - Vehicle Stop,23-04-15-005203,,SUBJECT(S) ADVISED/WARNED
4/15/2023 16:04,,Sierra Madre Tower 5,ALARM - Fire Alarm,23-04-15-005199,,False/Cooking related
4/15/2023 13:06,,Pcv Estrella,ALARM - Elevator Emergency/Alarm,23-04-15-005197,,False/Human Error
4/15/2023 13:01,,Unknown On-campus,CITIZEN ASSIST - Public Assist (specify),23-04-15-005196,,COMPLETED- NO REPORT
4/15/2023 12:27,,Highland Drive,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-04-15-005195,,COMPLETED- NO REPORT
4/15/2023 12:02,,Robert A. Mott Physical Education,PATROL ACTIVITY - Foot Patrol,23-04-15-005194,,IN SERVICE
4/15/2023 11:26,,Yak?ityutyu - E,ALARM - Fire Alarm,23-04-15-005193,,TURNED OVER TO FACILITY SVS
