ori,aggravated-assault,violent-crime,robbery,arson,human-trafficing,rape-legacy,homicide,burglary,motor-vehicle-theft,larceny,rape,property-crime
CA0010000,506.0,700.0,162.0,22.0,0.0,0.0,5.0,369.0,752.0,1165.0,27.0,2286.0
CA0010100,68.0,193.0,111.0,29.0,0.0,0.0,2.0,196.0,470.0,1819.0,12.0,2485.0
CA0010200,9.0,29.0,19.0,3.0,0.0,0.0,0.0,53.0,75.0,322.0,1.0,450.0
CA0010300,210.0,537.0,274.0,52.0,0.0,0.0,6.0,797.0,805.0,3933.0,47.0,5535.0
CA0010400,38.0,107.0,65.0,3.0,0.0,0.0,0.0,161.0,171.0,1117.0,4.0,1449.0
CA0010500,246.0,407.0,131.0,33.0,0.0,0.0,2.0,864.0,1061.0,3797.0,28.0,5722.0
CA0010600,205.0,528.0,253.0,17.0,0.0,0.0,13.0,622.0,1878.0,2850.0,57.0,5350.0
CA0010700,78.0,164.0,47.0,14.0,0.0,0.0,1.0,164.0,196.0,1166.0,38.0,1526.0
CA0010800,39.0,119.0,55.0,9.0,0.0,0.0,1.0,206.0,238.0,999.0,24.0,1443.0
CA0010900,2710.0,5653.0,2479.0,236.0,0.0,0.0,102.0,2537.0,6712.0,13373.0,362.0,22622.0
CA0011000,9.0,18.0,7.0,1.0,0.0,0.0,0.0,65.0,67.0,235.0,2.0,367.0
CA0011100,42.0,94.0,40.0,5.0,0.0,0.0,1.0,161.0,90.0,937.0,11.0,1188.0
CA0011200,173.0,462.0,260.0,10.0,0.0,0.0,7.0,381.0,1054.0,1981.0,22.0,3416.0
CA0011300,145.0,222.0,65.0,19.0,0.0,0.0,0.0,234.0,444.0,1219.0,12.0,1897.0
CA0011400,23.0,43.0,12.0,33.0,0.0,0.0,1.0,60.0,15.0,235.0,7.0,310.0
CA0011500,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,17.0,3.0,26.0
CA0011600,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,32.0,0.0,48.0
CA0012100,54.0,184.0,126.0,2.0,0.0,0.0,0.0,9.0,56.0,577.0,4.0,642.0
CA001300X,62.0,110.0,34.0,3.0,0.0,0.0,2.0,80.0,103.0,709.0,12.0,892.0
CA0014100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
CA0019700,52.0,71.0,8.0,3.0,0.0,0.0,0.0,50.0,38.0,278.0,11.0,366.0
CA0019900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230.0,40.0,0.0,271.0
CA0020000,19.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,13.0
CA0029900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CA0030000,76.0,90.0,7.0,3.0,0.0,0.0,2.0,92.0,2.0,218.0,5.0,312.0
CA0030200,10.0,13.0,1.0,2.0,0.0,0.0,0.0,10.0,2.0,32.0,2.0,44.0
CA0030300,33.0,39.0,4.0,0.0,0.0,0.0,0.0,27.0,13.0,102.0,2.0,142.0
CA0030500,11.0,14.0,2.0,2.0,0.0,0.0,0.0,7.0,3.0,36.0,1.0,46.0
CA0030600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA0039900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,0.0,38.0
CA0040000,265.0,341.0,27.0,5.0,0.0,0.0,5.0,422.0,24.0,674.0,44.0,1120.0
CA0040200,401.0,540.0,80.0,104.0,0.0,0.0,3.0,246.0,316.0,1551.0,56.0,2113.0
CA0040300,17.0,20.0,1.0,4.0,0.0,0.0,1.0,18.0,28.0,119.0,1.0,165.0
CA0040400,85.0,147.0,34.0,15.0,0.0,0.0,3.0,105.0,170.0,313.0,25.0,588.0
CA0040500,14.0,17.0,1.0,0.0,0.0,0.0,0.0,35.0,25.0,39.0,2.0,99.0
CA0040600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0
CA0040700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
CA0049700,3.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,58.0,0.0,66.0
CA0049900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,70.0,0.0,168.0
