Individual,Species,Disp,Dispyr,Dispsex,Tag Code,Spawner Id,Spawner Lg (Mm),Spawner Wt (G),Rearing,Prepittag/Pittag Date,Fieldidtype,Fieldid,Rear,Pit Length,Pit Weight,Prepit Pool,Postpit Pool,Group,Individual At Pit-Tagging,Pool,Comment,Mortality Date,Mortality Length,Mortality Weight,Mortality Id,Mortalitysex,Comment,4/21/16 Length,4/21/16 Weight,Pool,Vaccinated 4/21/16,9/29/16 Length,9/29/16 Weight,9/29/16 Pool,1/12/17 Length,1/12/17 Weight,1/12/17 Pool,3yo Maturity Sorta Date,3yo Maturity Sorta Length,3yo Maturity Sorta Weight,3yo Maturity Sorta Sex,3yo Maturity Sorta Pool,3yo Maturity Sorta Tote,3yo Maturity Sorta Note,3yo Maturity Sortb Date,3yo Maturity Sortb Length,3yo Maturity Sortb Weight,3yo Maturity Sortb Sex,3yo Maturity Sortb Pool,3yo Maturity Sortb Tote,3yo Maturity Sortb Note,4yo Maturity Sorta Date,4yo Maturity Sorta Length,4yo Maturity Sorta Weight,4yo Maturity Sorta Sex,4yo Maturity Sorta Pool,4yo Maturity Sorta Tote,4yo Maturity Sorta Comment,4yo Maturity Sortb Date,4yo Maturity Sortb Sex,4yo Maturity Sortb Tote,Record Number,Accessed Date,Source Url,Preferred Citation
OneNOAA14BCB_0110,15,3yo Spawner,2017,male,3DD.007780DC05,M17,514,1525,SW,2016-02-24 00:00:00,Cell#,0110,H,190,75.1,4.0,5.0,B,0110,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,482,1534,male,27,aft2,,,,,,,,,,,,,,,,,,,Row 1 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0111,15,4yo spawner,2018,male,3DD.007781347D,,610,2852,SW,2016-02-24 00:00:00,Cell#,0111,H,185,79.7,4.0,5.0,B,0111,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,413,892,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,581,2741,male,27,aft2,,,,,Row 2 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0112,15,3yo Redfish Lake Release,2017,female,3DD.007780BAC8,2ND RELEASE,,,SW,2016-02-24 00:00:00,Cell#,0112,H,194,87.3,4.0,5.0,B,0112,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,495,1721,female,27,fore2,,,,,,,,,,,,,,,,,,,Row 3 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0113,15,3yo SPAWNER,2017,female,3DD.007781C4D6,F26,462,1290,SW,2016-02-24 00:00:00,Cell#,0113,H,188,83.8,4.0,5.0,B,0113,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,448,1351,female,27,aft,,,,,,,,,,,,,,,,,,,Row 4 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0114,15,4YO PETTIT LAKE RELEASE,2018,MALE,3DD.0077800BF2,,,,SW,2016-02-24 00:00:00,Cell#,0114,H,185,82.4,4.0,5.0,B,0114,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,417,949,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,533,1847,male,27,mid2,,,,,Row 5 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0115,15,4yo SPAWNER,2018,male,3DD.007780C150,,498,1999,SW,2016-02-24 00:00:00,Cell#,0115,H,142,34.6,4.0,5.0,B,0115,,0077BC2057,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,,,imm,27,,0077BC2057,,,,,,,,2018-06-19 00:00:00,480,1910,male,27,aft2,,,,,Row 6 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0116,15,3yo Spawner,2017,female,3DD.00778020C1,F68,475,1258,SW,2016-02-24 00:00:00,Cell#,0116,H,175,68.5,4.0,5.0,B,0116,,,,,,,,,,,,,312,394,27,,,,2017-06-29 00:00:00,462,1276,female,27,aft2,,,,,,,,,,,,,,,,,,,Row 7 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0117,15,3yo Spawner,2017,male,3DD.00778D8C00,M46,478,1396,SW,2016-02-24 00:00:00,Cell#,0117,H,187,82.7,4.0,5.0,B,0117,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,456,1269,male,27,mid,,,,,,,,,,,,,,,,,,,Row 8 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0118,15,4yo SPAWNER,2018,MALE,3DD.007780E21F,,605,3349,SW,2016-02-24 00:00:00,Cell#,0118,H,190,86,4.0,5.0,B,0118,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,420,991,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,570,2958,male,27,fore,"hook nose, couldn’t see testes",,,,Row 9 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0119,15,4yo SPAWNER,2018,male,3DD.00778D8B39,,618,3497,SW,2016-02-24 00:00:00,Cell#,0119,H,158,45,4.0,5.0,B,0119,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,379,676,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,584,2871,male,27,aft2,,,,,Row 10 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
