Pos,Gymnast,NOC,Points,Floor Exercise,Horse Vault,Parallel Bars,Horizontal Bar,Rings,Pommelled Horse,Round,Year
1.0,Danell Leyva,USA,91.265,15.1,15.5,15.333,15.866,14.6,14.866,Qualification,2012
2.0,David Belyavsky,RUS,90.832,15.1,16.3,15.3,14.866,14.366,14.9,Qualification,2012
3.0,Fabian Hambüchen,GER,90.765,15.133,15.833,15.3,15.633,14.766,14.1,Qualification,2012
4.0,John Orozco,USA,90.597,15.166,15.8,14.533,15.266,15.066,14.766,Qualification,2012
5.0,Kristian Thomas,GBR,90.256,15.366,16.2,14.625,15.366,14.566,14.133,Qualification,2012
6.0,Mykola Kuksenkov,UKR,89.931,14.533,15.766,15.066,14.666,15.0,14.9,Qualification,2012
7.0,Marcel Nguyen,GER,89.833,15.433,14.875,15.525,15.0,15.1,13.9,Qualification,2012
8.0,Emin Garibov,RUS,89.798,14.533,15.233,15.6,15.566,14.633,14.233,Qualification,2012
9.0,Kohei Uchimura,JPN,89.764,15.766,16.033,15.533,15.0,14.966,12.466,Qualification,2012
10.0,Daniel Purvis,GBR,89.199,15.2,16.1,14.733,14.733,15.033,13.4,Qualification,2012
11.0,Sérgio Sasaki,BRA,89.132,14.533,16.2,15.2,14.533,14.633,14.033,Qualification,2012
12.0,Aleksandr Shatilov,ISR,89.032,15.633,15.533,14.7,15.0,14.033,14.133,Qualification,2012
13.0,Oleh Verniaiev,UKR,88.964,15.033,16.333,14.566,14.066,14.6,14.366,Qualification,2012
14.0,Cyril Tommasone,FRA,88.698,14.5,15.466,15.1,14.133,14.166,15.333,Qualification,2012
15.0,Fabián González,ESP,88.365,15.266,16.0,13.333,15.0,14.033,14.733,Qualification,2012
16.0,Javier Gómez,ESP,88.123,14.833,15.958,15.066,14.533,13.9,13.833,Qualification,2012
17.0,Philipp Boy,GER,87.698,14.766,15.7,14.933,13.8,14.166,14.333,Qualification,2012
18.0,Koji Yamamuro,JPN,87.632,14.433,15.333,14.2,14.366,14.9,14.4,Qualification,2012
19.0,Claudio Capelli,SUI,87.598,14.766,15.2,14.6,14.766,14.133,14.133,Qualification,2012
20.0,Oleh Stepko,UKR,87.047,15.033,15.916,13.366,13.466,14.866,14.4,Qualification,2012
21.0,Enrico Pozzo,ITA,86.898,14.766,15.6,14.366,14.5,14.033,13.633,Qualification,2012
22.0,Kazuhito Tanaka,JPN,86.841,13.666,15.75,15.725,14.4,15.1,12.2,Qualification,2012
23.0,Kim Su-Myeon,KOR,86.331,14.766,15.666,14.7,13.933,13.833,13.433,Qualification,2012
24.0,Paolo Ottavi,ITA,86.331,14.266,14.933,14.5,14.066,14.866,13.7,Qualification,2012
25.0,Flavius Koczi,ROU,85.865,15.666,16.066,13.5,12.633,14.6,13.4,Qualification,2012
26.0,Sergio Muñoz,ESP,85.665,14.6,16.0,13.833,13.266,13.966,14.0,Qualification,2012
27.0,Josh Jefferis,AUS,85.598,13.8,15.5,14.566,13.766,14.533,13.433,Qualification,2012
28.0,Roman Kulesza,POL,84.698,13.933,14.9,14.7,14.733,13.466,12.966,Qualification,2012
29.0,Guo Weiyang,CHN,84.131,12.266,15.3,13.966,14.933,14.4,13.266,Qualification,2012
30.0,Stepan Gorbachov,KAZ,83.931,13.9,15.666,13.433,13.666,13.533,13.733,Qualification,2012
31.0,Jimmy Verbaeys,BEL,83.564,14.5,15.266,14.533,14.333,14.066,10.866,Qualification,2012
32.0,Felix Aronovich,ISR,83.199,14.033,13.9,14.233,13.5,14.1,13.433,Qualification,2012
