SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130,ALBERTSON,11507,NASSAU,NY,"51,955.00","42,355.00","9,600.00","50,400.00",0.00,0.00,"50,400.00"
13365,13366,4085,NY-00130,AMITY HARBOR,11701,SUFFOLK,NY,"471,587.00","407,182.00","64,405.00","175,300.00","105,400.00","55,700.00","14,200.00"
13365,13366,4085,NY-00130,AMITYV ILLE,11701,SUFFOLK,NY,0.00,0.00,0.00,"18,500.00",0.00,0.00,"18,500.00"
13365,13366,4085,NY-00130,AMITYVILLE,11701,NASSAU,NY,"27,812.00","16,712.00","11,100.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,AMITYVILLE,11701,SUFFOLK,NY,"4,205,242.00","3,300,857.00","904,385.00","1,552,600.00","899,400.00","279,900.00","373,300.00"
13365,13366,4085,NY-00130,AQUEBOGUE,11931,SUFFOLK,NY,"66,164.00","66,164.00",0.00,"66,200.00","66,200.00",0.00,0.00
13365,13366,4085,NY-00130,ARVERNA,11692,QUEENS,NY,"43,178.00","43,178.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,ARVERNE,11520,QUEENS,NY,"59,192.00","57,092.00","2,100.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,ARVERNE,11692,QUEENS,NY,"11,695,230.00","6,784,459.00","4,910,771.00","4,044,000.00","2,735,900.00","994,200.00","313,900.00"
13365,13366,4085,NY-00130,ASTORIA,11101,QUEENS,NY,"13,920.00","13,920.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,ASTORIA,11102,QUEENS,NY,"515,505.00","111,031.00","404,474.00","47,800.00",0.00,"47,800.00",0.00
13365,13366,4085,NY-00130,ASTORIA,11105,QUEENS,NY,"3,740.00",0.00,"3,740.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,ASTORIA,11106,QUEENS,NY,"183,325.00","5,075.00","178,250.00","37,600.00","2,200.00","13,100.00","22,300.00"
13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NASSAU,NY,"4,051,405.00","3,435,394.00","616,011.00","1,077,500.00","794,500.00","235,200.00","47,800.00"
13365,13366,4085,NY-00130,ATLANTIC BEACH,11561,NASSAU,NY,"121,236.00","94,886.00","26,350.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NEW YORK,NY,"2,997,417.00","2,859,367.00","138,050.00","2,000,000.00","2,000,000.00",0.00,0.00
13365,13366,4085,NY-00130,BABYLON,11702,SUFFOLK,NY,"7,252,526.00","4,914,784.00","2,337,742.00","1,673,200.00","727,200.00","433,600.00","512,400.00"
13365,13366,4085,NY-00130,BALDWIN,11510,NASSAU,NY,"2,211,109.00","1,684,453.00","526,656.00","513,600.00","379,000.00","42,600.00","92,000.00"
13365,13366,4085,NY-00130,BAY SHORE,11706,SUFFOLK,NY,"2,197,394.00","1,401,468.00","795,926.00","653,300.00","258,600.00","123,400.00","271,300.00"
13365,13366,4085,NY-00130,BAYONNE,07002,HUDSON,NJ,0.00,0.00,0.00,"240,100.00",0.00,0.00,"240,100.00"
13365,13366,4085,NY-00130,BAYSHORE,11706,SUFFOLK,NY,"206,723.00","166,841.00","39,882.00","115,300.00","107,400.00","3,700.00","4,200.00"
13365,13366,4085,NY-00130,BAYSIDE,11361,QUEENS,NY,"18,193.00","4,568.00","13,625.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BAYSIDE,11364,QUEENS,NY,"18,173.00","18,173.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BAYVILLE,11709,NASSAU,NY,"598,046.00","352,227.00","245,819.00","167,900.00","131,100.00","16,500.00","20,300.00"
13365,13366,4085,NY-00130,BELLE HARBOR,11694,KINGS,NY,"906,829.00","855,681.00","51,148.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BELLE HARBOR,10314,QUEENS,NY,"854,105.00","742,648.00","111,457.00","999,700.00","742,700.00","111,500.00","145,500.00"
13365,13366,4085,NY-00130,BELLE HARBOR,11694,QUEENS,NY,"5,260,584.00","3,777,886.00","1,482,698.00","1,777,600.00","978,800.00","473,400.00","325,400.00"
13365,13366,4085,NY-00130,BELLEHARBOR,11694,QUEENS,NY,"72,544.00",0.00,"72,544.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BELLEROSE,11426,QUEENS,NY,"51,458.00","50,458.00","1,000.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BELLMORE,11710,NASSAU,NY,"2,115,652.00","1,562,940.00","552,712.00","925,500.00","438,100.00","157,800.00","329,600.00"
13365,13366,4085,NY-00130,BELLPORT,11713,SUFFOLK,NY,"9,040.00",0.00,"9,040.00","4,100.00",0.00,"1,600.00","2,500.00"
13365,13366,4085,NY-00130,BETHPAGE,11714,NASSAU,NY,"49,111.00","46,026.00","3,085.00","77,700.00",0.00,0.00,"77,700.00"
13365,13366,4085,NY-00130,BKLYN,11229,KINGS,NY,"17,725.00",0.00,"17,725.00","14,000.00",0.00,"14,000.00",0.00
13365,13366,4085,NY-00130,BLOOMING GROVE,10914,ORANGE,NY,"1,870.00",0.00,"1,870.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BLUE POINT,11715,SUFFOLK,NY,"15,000.00","12,850.00","2,150.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BOHEMIA,11716,SUFFOLK,NY,0.00,0.00,0.00,"713,000.00",0.00,0.00,"713,000.00"
13365,13366,4085,NY-00130,BOOKLYN,11235,KINGS,NY,"171,384.00","140,826.00","30,558.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BREEZY POINT,11697,QUEENS,NY,"5,735,054.00","4,817,656.00","917,398.00","380,600.00","169,300.00","178,400.00","32,900.00"
13365,13366,4085,NY-00130,BRENTWOOD,11717,SUFFOLK,NY,"134,903.00","100,375.00","34,528.00","192,800.00","6,100.00","2,400.00","184,300.00"
13365,13366,4085,NY-00130,BREWSTER,10509,PUTNAM,NY,"50,405.00",0.00,"50,405.00",0.00,0.00,0.00,0.00
