endTime,artistName,trackName,msPlayed
2022-04-18 20:08,This American Life,360: Switched at Birth,364692
2022-04-19 05:14,This American Life,360: Switched at Birth,1546558
2022-04-19 05:15,This American Life,760: A City Walks Into an Investigation,30348
2022-04-19 05:44,Welcome to Night Vale,206 - The Great Librarian of the Western Sands,1754340
2022-04-19 06:02,Fresh Air,Comic Jerrod Carmichael Reveals His Secrets,1018636
2022-04-19 06:06,The Strokes,Hard To Explain,224333
2022-04-19 06:09,The Taxpayers,I Love You Like An Alcoholic,215933
2022-04-19 06:09,Portugal. The Man,Feel It Still,6500
2022-04-19 06:11,Jons,In the Yard,133923
2022-04-19 06:17,The Strokes,The Adults Are Talking,309053
2022-04-19 06:20,Mild High Club,Skiptracing,219646
2022-04-19 06:22,Nice Guys,Skytop Garden,125786
2022-04-19 16:41,The Yard,Ep. 32 - We got invited to an influencer rager...,875136
2022-04-20 01:01,The Yard,Ep. 32 - We got invited to an influencer rager...,806545
2022-04-21 00:24,The Yard,Ep. 32 - We got invited to an influencer rager...,535521
2022-04-21 02:32,Morgan Delt,Some Sunsick Day,282192
2022-04-21 02:38,Queen,Brighton Rock - Remastered 2011,80039
2022-04-21 02:42,Queen,I Want To Break Free - Remastered 2011,1044
2022-04-21 02:42,Queen,Made In Heaven,2136
2022-04-21 02:42,Queen,Brighton Rock - Remastered 2011,229980
2022-04-21 02:42,The Beach Boys,I Get Around (Mono),1346
2022-04-21 02:42,ABBA,"I Do, I Do, I Do, I Do, I Do",487
2022-04-21 02:42,Silver,Wham Bam Shang-A-Lang,905
2022-04-21 02:42,Matthew Wilder,Break My Stride,32551
2022-04-21 02:45,B.J. Thomas,Raindrops Keep Fallin' on My Head - Rerecorded,178146
2022-04-21 02:47,The Beatles,Blackbird - Remastered 2009,812
2022-04-21 02:47,Wings,Live And Let Die - 2018 Remaster,1021
2022-04-21 02:47,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",1160
2022-04-21 02:47,Queen,Bohemian Rhapsody - Remastered 2011,130500
2022-04-21 02:48,Billy Joel,Piano Man,1021
2022-04-21 02:48,Styx,Renegade,325
2022-04-21 02:48,Bee Gees,Stayin Alive,232
2022-04-21 02:48,Don McLean,American Pie,185
2022-04-21 02:48,Billy Joel,My Life,0
2022-04-21 02:51,The Beatles,Get Back - Remastered 2009,189386
2022-04-21 02:53,Electric Light Orchestra,Livin' Thing,975
2022-04-21 02:53,Electric Light Orchestra,Don't Bring Me Down,1300
2022-04-21 02:53,Electric Light Orchestra,Don't Bring Me Down,1462
2022-04-21 02:53,Supergrass,Alright,111528
2022-04-21 02:53,Guns N' Roses,Sweet Child O' Mine,557
2022-04-21 02:53,Guns N' Roses,Sweet Child O' Mine,2298
2022-04-21 02:53,Queen,Somebody To Love - Remastered 2011,1369
2022-04-21 02:53,The Rolling Stones,"Paint It, Black",417
2022-04-21 02:53,Queen,Crazy Little Thing Called Love - Remastered 2011,162
2022-04-21 02:56,Nirvana,Where Did You Sleep Last Night,417
2022-04-21 02:56,The Bangles,Walk Like an Egyptian,0
2022-04-21 02:56,The Mamas & The Papas,California Dreamin' - Single Version,928
2022-04-21 02:56,Queen,Killer Queen - Remastered 2011,176978
2022-04-21 02:58,The Mamas & The Papas,California Dreamin' - Single Version,162373
2022-04-21 03:03,Nirvana,Where Did You Sleep Last Night,306066
2022-04-21 03:05,David Bowie,Life on Mars? - 2015 Remaster,812
2022-04-21 03:05,Dolly Parton,9 to 5,89178
2022-04-21 03:05,The Zombies,The Way I Feel Inside,1114
2022-04-21 03:07,The Zombies,The Way I Feel Inside,108573
2022-04-21 03:08,ABBA,Take A Chance On Me,859
2022-04-21 03:08,David Bowie,Life on Mars? - 2015 Remaster,49305
2022-04-21 03:11,Billy Idol,Dancing with Myself - 2001 Remaster,6175
2022-04-21 03:11,The Beatles,Help! - Remastered 2009,1323
2022-04-21 03:11,Elton John,Goodbye Yellow Brick Road - Remastered 2014,192826
2022-04-21 03:13,Dick Dale & His Del-Tones,Misirlou,136093
2022-04-21 03:16,Chuck Berry,You Never Can Tell,161906
2022-04-21 03:19,The Beach Boys,Good Vibrations,215826
2022-04-21 03:23,Queen,Another One Bites The Dust - Remastered 2011,214653
2022-04-21 03:24,The Beatles,Twist And Shout - Remastered 2009,45657
2022-04-21 03:27,Nena,99 Luftballons,232466
2022-04-21 03:32,Violent Femmes,Add It Up,284333
2022-04-21 03:36,Queen,Save Me - Remastered 2011,229920
2022-04-21 03:40,Gilbert O'Sullivan,Alone Again (Naturally),217728
2022-04-21 03:50,King Crimson,"The Court Of The Crimson King - Including ""The Return of the Fire Witch"" and ""The Dance of the Puppets""",602530
2022-04-21 03:57,"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),438493
2022-04-21 03:59,The Beach Boys,Wouldn't It Be Nice - Remastered 2000 / Stereo Mix,153205
2022-04-21 04:03,ABBA,Mamma Mia,213266
2022-04-21 04:08,Peter Schilling,Major Tom (Coming Home),301373
2022-04-21 04:11,Looking Glass,Brandy (You're a Fine Girl),186826
2022-04-21 04:14,Blue Swede,Hooked On A Feeling,172866
2022-04-21 05:00,Norman Greenbaum,Spirit In The Sky,3264
2022-04-21 05:55,The Yard,Ep. 32 - We got invited to an influencer rager...,3267619
2022-04-21 06:11,The Yard,Ep 33 - We asked Asa Butterfield the hardest question...,6826
2022-04-21 06:25,The Yard,Ep. 31 - We took mushrooms and tried to podcast...,545947
2022-04-21 07:03,GameChops,Lonely Rolling Star,118096
2022-04-21 07:03,Al Bowlly,"Midnight, The Stars and You",11050
2022-04-21 07:07,Louis Armstrong,La vie en rose - Single Version,5274
2022-04-21 07:07,Al Bowlly,Heartaches,209920
2022-04-21 07:10,Al Bowlly,"Midnight, The Stars and You",206333
2022-04-21 07:13,Nat King Cole,Smile,1045
2022-04-21 07:13,Johnny Mercer,Personality,169626
2022-04-21 07:13,Frank Sinatra,The Lady Is A Tramp - Remastered,1642
2022-04-21 07:13,Frank Sinatra,Saturday Night (Is The Loneliest Night In The Week),874
2022-04-21 07:13,Nat King Cole,L-O-V-E - 2000 Remaster,11676
2022-04-21 07:16,Louis Armstrong,"It's Been A Long, Long Time",1621
2022-04-21 07:16,Édith Piaf,"Non, je ne regrette rien",895
2022-04-21 07:16,Harry James,I've Heard That Song Before,175866
2022-04-21 07:16,Frank Sinatra,Cheek To Cheek - 2006 Digital Remaster/24 Bit Mastering,12618
2022-04-21 07:16,Frank Sinatra,Come Dance With Me - 1998 Remastered,2133
2022-04-21 07:16,Frank Sinatra,Fly Me To The Moon (In Other Words),1408
2022-04-21 07:16,Dean Martin,You're Nobody 'Til Somebody Loves You - Remastered/1997,1642
2022-04-21 07:16,Bobby Darin,Beyond the Sea,1002
2022-04-21 07:16,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",789
2022-04-21 07:16,The Chordettes,Hello! Ma Baby,1066
2022-04-21 07:16,Louis Armstrong,Dream A Little Dream Of Me,831
2022-04-21 07:18,Bobby Darin,Call Me Irresponsible,124560
2022-04-21 07:21,Skeeter Davis,The End of the World,158106
2022-04-21 07:24,Ella Fitzgerald,Manhattan,171533
2022-04-21 16:34,Frank Sinatra,Come Fly With Me - Remastered 1998,21121
2022-04-21 20:12,The Yard,Ep. 31 - We took mushrooms and tried to podcast...,3289794
2022-04-22 01:24,Peach Pit,Seventeen,228485
2022-04-22 01:29,Kainalu,Folds Like Origami,304160
2022-04-22 01:32,Mild High Club,Tesselation,152824
2022-04-22 01:36,Joe Wong,Dreams Wash Away,227573
2022-04-22 01:39,TEMPOREX,Nice Boys,180800
2022-04-22 01:44,Temples,Hot Motion,348933
2022-04-22 01:48,Cage The Elephant,Black Madonna,226533
2022-04-22 01:52,Her's,Harvey,211165
2022-04-22 01:55,Unknown Mortal Orchestra,So Good At Being in Trouble,230146
2022-04-22 01:59,STACEY,D.M.T.,234648
2022-04-22 02:03,Moses Gunn Collective,Shalala,228015
2022-04-22 02:06,Temples,Shelter Song,190558
2022-04-22 02:10,Mild High Club,Windowpane,237300
2022-04-22 02:14,Mdou Moctar,Afrique Victime - Edit,246631
2022-04-22 02:19,Morgan Delt,Some Sunsick Day,311280
2022-04-22 02:23,Djo,Ring,246160
2022-04-22 02:27,Djo,Tentpole Shangrila,216973
2022-04-22 02:30,La Femme,La femme,181693
2022-04-22 02:33,The Marías,I Don't Know You,209449
2022-04-22 02:38,Unknown Mortal Orchestra,Everyone Acts Crazy Nowadays,254973
2022-04-22 02:40,Unknown Mortal Orchestra,Necessary Evil,175643
2022-04-22 04:41,Taeko Onuki,Tokai,4074
2022-04-23 06:29,Paul Simon,Diamonds on the Soles of Her Shoes,6826
2022-04-23 06:29,Paul Simon,Diamonds on the Soles of Her Shoes,7189
2022-04-23 06:29,DPR LIVE,Diamonds + And Pearls,38826
2022-04-23 06:31,DPR LIVE,Diamonds + And Pearls,60778
2022-04-23 06:35,Secret Colours,Faust,242453
2022-04-23 06:35,Sex Bob-Omb,We Are Sex Bob-Omb,5189
2022-04-23 06:36,Mike Krol,Fifteen Minutes,65365
2022-04-23 06:38,Kalafina,to the beginning,96021
2022-04-23 06:38,King Gnu,Prayer X (Acoustic),383
2022-04-23 06:41,King Gnu,Prayer X,195226
2022-04-23 06:41,Mac Miller,Blue Slide Park,14720
2022-04-23 06:43,TOWA TEI,SUGAR,73621
2022-04-23 11:25,The 8-Bit Big Band,"Lonely Rolling Star (From ""Katamari Damacy')",196565
2022-04-24 10:00,Yuko Koura,夢をかなえてドラえもん (ED),2602
2022-04-24 10:00,Michirutopia,"Doraemon no Uta (From ""Doraemon"") [Spanish Version - TV Size]",19242
2022-04-24 10:00,Unknown Artist,Unknown Track,46464
2022-04-24 10:04,Hinano Yoshikawa,Doraemon no Uta,97002
2022-04-24 10:06,GUMI,Catch You Catch Me,73578
2022-04-25 04:44,This American Life,768: The Other Front Lines,3698265
2022-04-25 05:07,The Yard,Ep. 27 - Why Ludwig's Mom Hates Nick,1223993
2022-04-25 05:08,Her's,Speed Racer,2182
2022-04-25 05:08,biosphere,strangers,2947
2022-04-25 05:08,SALES,Chinese New Year,534
2022-04-25 05:08,Super Soul Bros,"Guns & Roses (From ""Baccano!"")",1207
2022-04-25 05:08,Lianne La Havas,Unstoppable,1346
2022-04-25 05:08,Megan Nicole Dong,What You Need,78306
2022-04-25 05:11,Maren Morris,My Church,193793
2022-04-25 05:15,TOWA TEI,SUGAR,234013
2022-04-25 05:21,The Strokes,Ode To The Mets,351786
2022-04-25 07:07,BROCKHAMPTON,BLEACH,173785
2022-04-25 07:08,Kingo Hamada,街のドルフィン,100544
2022-04-25 20:05,The Yard,Ep. 27 - Why Ludwig's Mom Hates Nick,1083257
2022-04-26 02:05,Joe Wong,Dreams Wash Away,7198
2022-04-26 02:05,The Taxpayers,I Love You Like An Alcoholic,1091
2022-04-26 02:05,Cage The Elephant,Black Madonna,9241
2022-04-26 02:30,Joe Wong,Dreams Wash Away,220378
2022-04-26 02:34,The Undercover Dream Lovers,I Don't Know Your Name,260586
2022-04-26 02:35,Morgan Delt,Some Sunsick Day,952
2022-04-26 02:39,Maybird,Turning into Water,202865
2022-04-26 02:44,Morgan Delt,Some Sunsick Day,311280
2022-04-26 02:46,Jons,In the Yard,133923
2022-04-26 02:51,Post Animal,Ralphie,275933
2022-04-26 02:54,Kid Bloom,Different State of Mind,225531
2022-04-26 02:58,Moses Gunn Collective,Shalala,228015
2022-04-26 03:02,Peach Pit,Seventeen,216426
2022-04-26 03:08,Nice Guys,Makes You Fly,368723
2022-04-26 03:09,Mild High Club,Trash Heap,76973
2022-04-26 03:13,Divino Niño,Melty Caramelo,236637
2022-04-26 03:15,M.A.G.S.,Drugs,134899
2022-04-26 03:18,Maybird,Don't Keep Me Around,197098
2022-04-26 03:22,Tempesst,Tidal Wave,224218
2022-04-26 03:23,Unknown Mortal Orchestra,Multi-Love,60239
2022-04-26 16:39,Unknown Mortal Orchestra,Multi-Love,254422
2022-04-26 16:42,Mustard Service,Taking Up Space,217600
2022-04-26 22:37,The Growlers,City Club,178103
2022-04-26 22:40,Los Retros,Someone To Spend Time With,173953
2022-04-26 22:43,Foxygen,Shuggie,201706
2022-04-27 02:04,Phum Viphurit,"Hello, Anxiety",227934
2022-04-27 02:07,Los Retros,Someone To Spend Time With,173953
2022-04-27 02:11,Tame Impala,Lost In Yesterday,249586
2022-04-27 02:14,Maybird,Turning into Water,201402
2022-04-27 02:15,Palmas,Flowers,19900
2022-04-27 04:42,James Blake,Retrograde,5201
2022-04-27 04:45,Djo,Chateau (Feel Alright),835
2022-04-27 04:45,Mild High Club,Homage,719
2022-04-27 04:45,girl in red,we fell in love in october,127036
2022-04-27 04:45,The Strokes,The Adults Are Talking,998
2022-04-27 04:48,BADBADNOTGOOD,Time Moves Slow,183205
2022-04-27 04:52,Her's,What Once Was,255067
2022-04-27 04:57,Beach House,Silver Soul,298680
2022-04-27 04:57,Unknown Mortal Orchestra,So Good At Being in Trouble,3615
2022-04-27 05:00,Gus Dapperton,"Prune, You Talk Funny",212701
2022-04-27 05:04,Mac DeMarco,Chamber Of Reflection,231723
2022-04-27 05:08,Alvvays,"Archie, Marry Me",196560
2022-04-27 05:12,of Montreal,Wraith Pinned to the Mist and Other Games,255613
2022-04-27 05:15,TV Girl,Lovers Rock,213920
2022-04-27 05:19,Lord Huron,The Night We Met,208211
2022-04-27 05:23,Current Joys,Kids,269142
2022-04-27 05:24,Dr. Dog,The Breeze,66135
2022-04-27 20:00,The Yard,Ep. 27 - Why Ludwig's Mom Hates Nick,2164099
2022-04-28 02:04,The Yard,Ep. 27 - Why Ludwig's Mom Hates Nick,326727
2022-04-28 03:35,The Undercover Dream Lovers,I Don't Know Your Name,7658
2022-04-28 03:37,Emma Stone,Audition (The Fools Who Dream) - Studio Version,5994
2022-04-28 03:37,Emma Stone,Audition (The Fools Who Dream),95914
2022-04-28 03:41,AJR,Sober Up (feat. Rivers Cuomo),11242
2022-04-28 03:41,ドリーミング,アンパンマンのマーチ,9941
2022-04-28 03:45,Emma Stone,Audition (The Fools Who Dream),228266
2022-04-28 03:49,The Undercover Dream Lovers,I Don't Know Your Name,260586
2022-04-28 03:51,Dua Lipa,Hallucinate,117088
2022-04-28 03:54,Harry Styles,As It Was,44222
2022-04-28 03:54,Harry Styles,As It Was,167303
2022-04-28 03:54,TEMPOREX,Nice Boys,895
2022-04-28 03:56,Lorde,Ribs,112981
2022-04-28 03:58,88rising,Midsummer Madness,95168
2022-04-28 06:03,Steven Universe,Love Like You (feat. Rebecca Sugar) - End Credits,126890
2022-04-28 06:07,Emma Stone,Audition (The Fools Who Dream),52522
2022-04-28 06:09,Surf Curse,Forever Dumb,97706
2022-04-28 06:11,fun.,Carry On,92288
2022-04-28 16:32,Emma Stone,Audition (The Fools Who Dream),228266
2022-04-28 16:33,Adventure Time,Everything Stays (feat. Olivia Olson),95058
2022-04-28 16:35,Adventure Time,Island Song (Come Along with Me) [feat. Ashley Eriksson],108721
2022-04-28 16:39,La La Land Cast,Another Day Of Sun,228173
2022-04-28 16:40,Adventure Time,"Time Adventure (feat. Olivia Olson, Niki Yang & Hynden Walch)",80014
2022-04-29 22:11,Emma Stone,Audition (The Fools Who Dream),228266
2022-04-29 22:11,A Chorus Line Ensemble (2006),One (Reprise) / Finale,7910
2022-04-29 22:13,Steven Universe,Love Like You (feat. Rebecca Sugar) - End Credits,143629
2022-04-29 22:17,La La Land Cast,Another Day Of Sun,228173
2022-04-30 03:11,Steven Universe,"Peace and Love on the Planet Earth (feat. Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz & Shelby Rabara)",34491
2022-04-30 04:02,Fresh Air,Michelle Yeoh,2936325
2022-04-30 04:17,The Yard,Ep. 27 - Why Ludwig's Mom Hates Nick,860226
2022-04-30 05:08,The Yard,Ep. 28 - Ludwig got backstabbed by this streamer...,3104080
2022-04-30 20:49,The Yard,Ep. 24 - Amouranth tells us how much she made on OnlyFans,5799459
2022-04-30 22:25,The Yard,"Ep. 25 - We flew 5,000 miles to interview Ludwig's mom",5754841
2022-05-01 00:07,The Yard,"Ep. 26 - How Ludwig Instantly Lost $50,000",6144327
2022-05-01 00:49,The Yard,Ep. 28 - Ludwig got backstabbed by this streamer...,2482534
2022-05-01 01:48,The Yard,Ep. 29 - Why Jschlatt has to come on this podcast,3544631
2022-05-02 07:57,Les Paul,Vaya Con Dios,174600
2022-05-02 07:59,Al Bowlly,"Midnight, The Stars and You",3462
2022-05-02 07:59,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",124880
2022-05-02 16:58,This American Life,769: The Reluctant Explorer,670104
2022-05-03 05:29,This American Life,769: The Reluctant Explorer,2821787
2022-05-03 06:16,The Yard,Ep. 42 - Ludwig Admits to Cheating in Among Us,2497120
2022-05-03 16:31,Emma Stone,Audition (The Fools Who Dream),1857
2022-05-03 16:35,Emma Stone,Audition (The Fools Who Dream),228266
2022-05-03 16:40,A Chorus Line Ensemble (2006),One (Reprise) / Finale,296093
2022-05-03 16:41,Adventure Time,Island Song (Come Along with Me) [feat. Ashley Eriksson],3583
2022-05-03 20:34,Ryan Gosling,A Lovely Night,236506
2022-05-03 20:36,Steven Universe,"Peace and Love on the Planet Earth (feat. Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz & Shelby Rabara)",112198
2022-05-03 20:38,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",149706
2022-05-03 20:39,Megan Nicole Dong,What You Need,78306
2022-05-03 20:41,Adventure Time,Everything Stays (feat. Olivia Olson),95058
2022-05-03 20:45,Adventure Time,"Time Adventure (feat. Olivia Olson, Niki Yang & Hynden Walch)",12870
2022-05-03 20:45,La La Land Cast,Another Day Of Sun,228173
2022-05-03 20:47,Harry Styles,As It Was,167303
2022-05-03 20:51,Slick Rick,Street Talkin',221200
2022-05-03 20:54,DNCE,Man On Fire,187373
2022-05-03 20:59,Chance the Rapper,Cocoa Butter Kisses,307187
2022-05-03 21:01,Unknown Artist,Unknown Track,109634
2022-05-03 21:03,Still Woozy,Lucy,142499
2022-05-03 21:06,Still Woozy,Lava,157303
2022-05-03 21:09,Mac Miller,Blue World,209440
2022-05-03 21:13,Rex Orange County,Corduroy Dreams,206974
2022-05-03 21:17,88rising,Midsummer Madness,280841
2022-05-03 21:20,Frank Ocean,Pink + White,184516
2022-05-03 21:23,Rav,You Fuckers Were Asking for This One - Boin Edit,136267
2022-05-03 21:27,The Avalanches,Because I’m Me,252800
2022-05-03 21:31,Kaz Moon,Mantra,246673
2022-05-03 21:31,Cráneo,Cristal (feat. BxRod),20434
2022-05-04 02:01,Patti Page,Old Cape Cod,158466
2022-05-04 02:04,Les Paul,Vaya Con Dios,162279
2022-05-04 03:00,Les Paul,Vaya Con Dios,12262
2022-05-04 03:02,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",124880
