Name,Index,Latest Price,Previous Close,Low,High,Change,% Change,Datetime,3 Mo. Change,3 Mo. % Change,6 Mo. Change,6 Mo. % Change,1 Year Change,1 Year % Change
3M,Dow Jones,106.06,105.76,105.95,107.1,0.3,0.28%,01:10 PM04/17/2023 01:10:32 PM UTC-0400,-25.15,-19.42%,-9.86,-8.63%,-44.29,-29.79%
American Express,Dow Jones,162.15,163.24,160.89,162.89,-1.09,-0.67%,01:10 PM04/17/2023 01:10:41 PM UTC-0400,3.56,2.29%,17.73,12.52%,-20.39,-11.35%
Amgen,Dow Jones,248.14,250,248.06,251.5,-1.87,-0.75%,01:09 PM04/17/2023 01:09:54 PM UTC-0400,-22.23,-8.18%,-2.16,-0.86%,-4.01,-1.58%
Apple,Dow Jones,164.45,165.21,164.03,165.39,-0.76,-0.46%,01:10 PM04/17/2023 01:10:40 PM UTC-0400,25.34,18.80%,17.11,11.97%,-10.3,-6.04%
Boeing,Dow Jones,203.76,201.66,200.84,206.1,2.1,1.04%,01:10 PM04/17/2023 01:10:40 PM UTC-0400,-1.84,-0.86%,79.88,60.33%,29.32,16.03%
Caterpillar,Dow Jones,225.08,223.66,224.61,226.92,1.42,0.63%,01:10 PM04/17/2023 01:10:20 PM UTC-0400,-38.03,-14.71%,37.37,20.41%,2.21,1.01%
Chevron,Dow Jones,170.57,172.38,170.22,172.48,-1.81,-1.05%,01:10 PM04/17/2023 01:10:25 PM UTC-0400,-7.84,-4.41%,4.54,2.75%,-1.89,-1.10%
Cisco,Dow Jones,50.35,50.54,50.34,50.68,-0.19,-0.38%,01:10 PM04/17/2023 01:10:37 PM UTC-0400,1.23,2.52%,9.5,23.39%,-2.04,-3.91%
Coca-Cola,Dow Jones,63.29,63.05,63.18,63.53,0.24,0.37%,01:10 PM04/17/2023 01:10:33 PM UTC-0400,1.27,2.07%,6.82,12.20%,-2.04,-3.15%
Dow,Dow Jones,56.61,56.5,56.47,56.95,0.11,0.19%,01:10 PM04/17/2023 01:10:39 PM UTC-0400,-1.79,-3.05%,10.98,23.90%,-7.3,-11.37%
Goldman Sachs,Dow Jones,339.26,336.91,333.68,340.19,2.35,0.70%,01:10 PM04/17/2023 01:10:35 PM UTC-0400,-43,-11.52%,22.93,7.46%,7.96,2.47%
Home Depot,Dow Jones,293.29,292.19,291.55,294.24,1.1,0.37%,01:10 PM04/17/2023 01:10:31 PM UTC-0400,-40.76,-12.31%,7.65,2.71%,-20.02,-6.45%
Honeywell,Dow Jones,197.01,196.55,196.74,197.89,0.46,0.23%,01:10 PM04/17/2023 01:10:12 PM UTC-0400,-23.38,-10.79%,15.68,8.83%,-1.62,-0.83%
IBM,Dow Jones,127.08,128.13,127.07,128.72,-1.05,-0.82%,01:10 PM04/17/2023 01:10:35 PM UTC-0400,-17.28,-11.85%,6.78,5.57%,2.42,1.92%
Intel,Dow Jones,31.84,31.89,31.81,32.64,-0.05,-0.16%,01:10 PM04/17/2023 01:10:35 PM UTC-0400,1.91,6.34%,5.6,21.20%,-14.99,-31.89%
Johnson & Johnson,Dow Jones,165.12,165.83,165,166.24,-0.71,-0.43%,01:10 PM04/17/2023 01:10:39 PM UTC-0400,-9.5,-5.48%,-1.28,-0.77%,-16.81,-9.30%
JPMorgan Chase,Dow Jones,139.04,138.69,137.66,140.06,0.35,0.25%,01:10 PM04/17/2023 01:10:37 PM UTC-0400,-14.42,-10.09%,19.22,17.58%,1.24,0.97%
McDonald's,Dow Jones,288.47,288.95,288.2,290.51,-0.48,-0.17%,01:10 PM04/17/2023 01:10:41 PM UTC-0400,16.45,6.12%,38.65,15.67%,33.87,13.47%
Merck,Dow Jones,114.83,115.34,114.2,116.45,-0.51,-0.44%,01:10 PM04/17/2023 01:10:22 PM UTC-0400,1.54,1.37%,21.29,23.02%,27.65,32.10%
Microsoft,Dow Jones,286.97,286.14,286.2,291.58,0.83,0.29%,01:10 PM04/17/2023 01:10:34 PM UTC-0400,44.26,18.50%,49.25,21.03%,-4.13,-1.44%
Nike,Dow Jones,125.53,125.91,125.13,126.48,-0.38,-0.30%,01:10 PM04/17/2023 01:10:06 PM UTC-0400,-5.17,-4.01%,34.12,38.09%,-3.79,-2.97%
Procter & Gamble,Dow Jones,150.65,151,150.65,151.46,-0.35,-0.23%,01:10 PM04/17/2023 01:10:34 PM UTC-0400,0.2,0.13%,24.81,19.65%,-8.35,-5.24%
Salesforce,Dow Jones,196.74,194.66,195.03,197.52,2.09,1.07%,01:10 PM04/17/2023 01:10:38 PM UTC-0400,40.89,27.35%,44.94,30.90%,-5.46,-2.79%
Travelers,Dow Jones,169.31,168.38,167.64,170.31,0.93,0.55%,01:10 PM04/17/2023 01:10:14 PM UTC-0400,-19.96,-10.30%,8.34,5.04%,-9.9,-5.39%
UnitedHealth,Dow Jones,503.02,511.22,503.02,509.34,-8.2,-1.60%,01:10 PM04/17/2023 01:10:28 PM UTC-0400,31.82,6.50%,10.48,2.05%,-16.64,-3.09%
Verizon,Dow Jones,39.3,39.21,39.14,39.46,0.09,0.22%,01:10 PM04/17/2023 01:10:34 PM UTC-0400,-2.64,-6.30%,2.81,7.72%,-14.94,-27.59%
Visa,Dow Jones,231.37,233.97,230.94,234.02,-2.6,-1.11%,01:10 PM04/17/2023 01:10:34 PM UTC-0400,4.81,2.16%,43.23,23.42%,14.53,6.81%
Walgreens Boots Alliance,Dow Jones,35.57,35.32,35.35,35.74,0.25,0.69%,01:09 PM04/17/2023 01:09:39 PM UTC-0400,-1.09,-2.96%,2.04,6.06%,-8.91,-19.98%
Walmart,Dow Jones,148.94,148.46,148.5,149.67,0.48,0.32%,01:10 PM04/17/2023 01:10:20 PM UTC-0400,4.1,2.82%,17.1,12.93%,-7.94,-5.05%
Walt Disney,Dow Jones,99.66,99.89,99.17,100.57,-0.24,-0.24%,01:10 PM04/17/2023 01:10:38 PM UTC-0400,-1.45,-1.45%,1.33,1.38%,-34.41,-25.99%
3M,S&P 500,106.49,105.76,105.95,107.1,0.73,0.69%,01:33 PM04/17/2023 01:33:32 PM UTC-0400,-25.15,-19.42%,-9.86,-8.63%,-44.29,-29.79%
A.O. Smith,S&P 500,67.2,67.1,66.86,67.68,0.1,0.15%,01:33 PM04/17/2023 01:33:10 PM UTC-0400,3.89,6.26%,17.17,35.14%,1.3,2.01%
Abbott Laboratories,S&P 500,104.32,103.97,104.08,104.84,0.35,0.34%,01:33 PM04/17/2023 01:33:35 PM UTC-0400,-10.92,-9.62%,0.14,0.14%,-16.91,-14.15%
AbbVie,S&P 500,160.93,161.57,160.65,162.2,-0.64,-0.40%,01:33 PM04/17/2023 01:33:09 PM UTC-0400,8.76,5.70%,19.44,13.60%,3.5,2.20%
Accenture,S&P 500,280.89,279.16,278.78,281.82,1.73,0.62%,01:33 PM04/17/2023 01:33:32 PM UTC-0400,1.67,0.59%,26.59,10.34%,-41.69,-12.81%
Activision Blizzard,S&P 500,85.41,85.27,84.62,85.43,0.14,0.16%,01:32 PM04/17/2023 01:32:38 PM UTC-0400,8.29,10.81%,11.83,16.18%,5.85,7.40%
Adobe,S&P 500,375.49,379.38,374.75,380.76,-3.9,-1.03%,01:33 PM04/17/2023 01:33:22 PM UTC-0400,25.51,7.41%,75.15,25.50%,-61.78,-14.31%
Advance Auto Parts,S&P 500,126.61,123.62,123.81,126.99,2.99,2.41%,01:33 PM04/17/2023 01:33:12 PM UTC-0400,-29.61,-19.61%,-50.14,-29.23%,-99.02,-44.93%
AES,S&P 500,24.16,24.86,23.92,24.59,-0.7,-2.80%,01:33 PM04/17/2023 01:33:42 PM UTC-0400,-2.54,-9.10%,0.92,3.77%,0.85,3.47%
Aflac,S&P 500,66.07,66.2,65.31,66.21,-0.13,-0.20%,01:33 PM04/17/2023 01:33:20 PM UTC-0400,-6.87,-9.43%,6.3,10.55%,1,1.54%
Agilent Technologies,S&P 500,139.36,139.19,138.94,140.21,0.17,0.12%,01:33 PM04/17/2023 01:33:27 PM UTC-0400,-18.51,-11.80%,10.55,8.25%,10.1,7.87%
Air Products and Chemicals,S&P 500,284.68,286.19,284.44,287.9,-1.52,-0.53%,01:31 PM04/17/2023 01:31:46 PM UTC-0400,-24.21,-7.77%,49.37,20.75%,37.39,14.96%
Akamai,S&P 500,83.02,82.55,82.48,83.14,0.47,0.56%,01:33 PM04/17/2023 01:33:46 PM UTC-0400,-7.52,-8.48%,0.72,0.89%,-38.01,-31.89%
Alaska Air Group,S&P 500,42.53,41.91,41.95,42.56,0.62,1.48%,01:31 PM04/17/2023 01:31:52 PM UTC-0400,-8.31,-16.52%,0.08,0.19%,-14.26,-25.36%
Albemarle,S&P 500,205.63,203.97,204.84,208.37,1.66,0.81%,01:32 PM04/17/2023 01:32:28 PM UTC-0400,-40.47,-16.70%,-54.19,-21.17%,-10.82,-5.09%
Alexandria Real Estate Equities,S&P 500,121.36,118.47,118.68,122.33,2.89,2.44%,01:33 PM04/17/2023 01:33:25 PM UTC-0400,-34.01,-21.86%,-13.1,-9.73%,-76.68,-38.68%
Align Technology,S&P 500,345.63,342.27,341.71,345.91,3.36,0.98%,01:33 PM04/17/2023 01:33:09 PM UTC-0400,92.49,38.58%,119.94,56.49%,-84.66,-20.31%
